9.109 383 56 e-31, kg
2.730 924 488 e-22, kg m s^-1
0.510 998 9461, MeV/c
1.288 088 667 12 e-21, s
299 792 458, m s^-1
1.319 590 904 81 e-15, m
0.210 019 415 36 e-15, m
1.040 668 82 e-3, 
1838.683 661 58, 
-3.826 085 45, 
1.832 471 72 e8, s^-1 T^-1
29.164 6933, MHz T^-1
-0.966 236 50 e-26, J T^-1
-1.041 875 63 e-3, 
-1.913 042 73, 
1.674 927 471 e-27, kg
1.505 349 739 e-10, J
939.565 4133, MeV
1.008 664 915 88, u
1.008 664 915 88 e-3, kg mol^-1
8.892 484 08, 
-0.684 979 34, 
2.305 573 77 e-30, 
2.072 146 37 e-13, 
1.293 332 05, 
0.001 388 449 00, 
1.001 378 418 98, 
0.528 790, 
-0.684 996 94, 
6.674 08 e-11, m^3 kg^-1 s^-2
6.708 61 e-39, (GeV/c^2)^-2
5.050 783 699 e-27, J T^-1
3.152 451 2550 e-8, eV T^-1
2.542 623 432 e-2, m^-1 T^-1
3.658 2690 e-4, K T^-1
7.622 593 285, MHz T^-1
6.626 070 040 e-34, J s
4.135 667 662 e-15, eV s
1.054 571 800 e-34, J s
6.582 119 514 e-16, eV s
197.326 9788, MeV fm
1.616 229 e-35, m
2.176 470 e-8, kg
1.220 910 e19, GeV
1.416 808 e32, K
5.391 16 e-44, s
9.578 833 226 e7, C kg^-1
1.321 409 853 96 e-15, m
0.210 308 910 109 e-15, m
1836.152 673 89, 
5.585 694 702, 
2.675 221 900 e8, s^-1 T^-1
42.577 478 92, MHz T^-1
1.410 606 7873 e-26, J T^-1
1.521 032 2053 e-3, 
2.792 847 3508, 
25.691 e-6, 
1.672 621 898 e-27, kg
1.503 277 593 e-10, J
938.272 0813, MeV
1.007 276 466 879, u
1.007 276 466 879 e-3, kg mol^-1
8.880 243 38, 
-1.459 898 05, 
0.998 623 478 44, 
0.8751 e-15, m
0.528 063, 
3.636 947 5486 e-4, m^2 s^-1
7.273 895 0972 e-4, m^2 s^-1
10 973 731.568 508, m^-1
3.289 841 960 355 e15, Hz
13.605 693 009, eV
2.179 872 325 e-18, J
-1.151 7084, 
-1.164 8714, 
1.438 777 36 e-2, m K
2.037 894 585 e8, s^-1 T^-1
32.434 099 66, MHz T^-1
-1.074 553 080 e-26, J T^-1
-1.158 671 471 e-3, 
-2.127 497 720, 
-0.761 766 5603, 
-0.761 786 1313, 
2.675 153 171 e8, s^-1 T^-1
42.576 385 07, MHz T^-1
1.410 570 547 e-26, J T^-1
1.520 993 128 e-3, 
2.792 775 600, 
299 792 458, m s^-1
9.806 65, m s^-2
101 325, Pa
100 000, Pa
5.670 367 e-8, W m^-2 K^-4
0.697 787 e-15, m
0.111 056 e-15, m
3477.15, 
3.167 47 e-27, kg
2.846 78 e-10, J
1776.82, MeV
1.907 49, u
1.907 49 e-3, kg mol^-1
16.8167, 
1.891 11, 
1.893 72, 
0.665 245 871 58 e-28, m^2
5496.921 535 88, 
5.957 924 920, 
1.504 609 503 e-26, J T^-1
1.622 393 6616 e-3, 
2.978 962 460, 
5.007 356 665 e-27, kg
4.500 387 735 e-10, J
2808.921 112, MeV
3.015 500 716 32, u
3.015 500 716 32 e-3, kg mol^-1
2.993 717 033 48, 
1.660 539 040 e-27, kg
25 812.807 4555, ohm
0.2223, 
5.878 9238 e10, Hz K^-1
2.897 7729 e-3, m K
